"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","RBI","BB","SO","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount","fullName"
"262","anderbr01",2000,"BAL","AL",506,130,19,50,92,103,"Brady","Anderson","Brady Kevin",7127199,0.256916996047431,0.146153846153846,301,1,13,"Brady Anderson"
"263","anderbr01",2001,"BAL","AL",430,87,8,45,60,77,"Brady","Anderson","Brady Kevin",7200000,0.202325581395349,0.0919540229885057,302,1,13,"Brady Anderson"
"264","anderbr01",2002,"CLE","AL",80,13,1,5,18,23,"Brady","Anderson","Brady Kevin",2e+05,0.1625,0.0769230769230769,303,1,13,"Brady Anderson"
"265","anderbr02",1998,"ARI","NL",66,7,0,0,3,19,"Brian","Anderson","Brian James",775000,0.106060606060606,0,304,1,5,"Brian Anderson"
"266","anderbr02",1999,"ARI","NL",38,5,1,2,2,10,"Brian","Anderson","Brian James",1800000,0.131578947368421,0.2,305,1,5,"Brian Anderson"
"267","anderbr02",2000,"ARI","NL",69,13,0,4,1,10,"Brian","Anderson","Brian James",2250000,0.188405797101449,0,306,1,5,"Brian Anderson"
"268","anderbr02",2001,"ARI","NL",37,5,0,2,0,9,"Brian","Anderson","Brian James",4125000,0.135135135135135,0,307,1,5,"Brian Anderson"
"269","anderbr02",2002,"ARI","NL",43,5,0,2,0,9,"Brian","Anderson","Brian James",5375000,0.116279069767442,0,308,1,5,"Brian Anderson"
"277","anderda02",1986,"LAN","NL",216,53,1,15,22,39,"Dave","Anderson","David Carter",2e+05,0.24537037037037,0.0188679245283019,318,1,7,"Dave Anderson"
"278","anderda02",1987,"LAN","NL",265,62,1,13,24,43,"Dave","Anderson","David Carter",225000,0.233962264150943,0.0161290322580645,319,1,7,"Dave Anderson"
"279","anderda02",1988,"LAN","NL",285,71,2,20,32,45,"Dave","Anderson","David Carter",262500,0.249122807017544,0.028169014084507,320,1,7,"Dave Anderson"
"280","anderda02",1989,"LAN","NL",140,32,1,14,17,26,"Dave","Anderson","David Carter",420000,0.228571428571429,0.03125,321,1,7,"Dave Anderson"
"281","anderda02",1990,"SFN","NL",100,35,1,6,3,20,"Dave","Anderson","David Carter",5e+05,0.35,0.0285714285714286,322,1,7,"Dave Anderson"
